
Tracing route to www.hws.edu [64.89.145.159]
over a maximum of 30 hops:

  1     2 ms     1 ms     1 ms  Dlink-Router.Dlink [192.168.0.1] 
  2     3 ms     2 ms     2 ms  10.153.128.1 
  3     8 ms     5 ms     4 ms  14.143.59.193.static-mumbai.vsnl.net.in [14.143.59.193] 
  4     4 ms     3 ms     3 ms  172.28.132.238 
  5     5 ms     7 ms     6 ms  ix-ae-0-100.tcore1.mlv-mumbai.as6453.net [180.87.38.5] 
  6     *      113 ms   116 ms  if-ae-29-8.tcore1.wyn-marseille.as6453.net [80.231.217.110] 
  7   111 ms   111 ms   111 ms  if-ae-21-2.tcore1.pye-paris.as6453.net [80.231.154.208] 
  8   125 ms   114 ms   115 ms  if-ae-11-2.tcore1.pvu-paris.as6453.net [80.231.153.49] 
  9     *        *        *     Request timed out.
 10   111 ms   115 ms   114 ms  ae-1-3104.edge3.Paris1.Level3.net [4.69.161.110] 
 11   112 ms   111 ms   110 ms  global-crossing-xe-level3.paris1.level3.net [4.68.63.230] 
 12   208 ms   273 ms   205 ms  roc1-ar5-xe-11-0-0-0.us.twtelecom.net [35.248.1.162] 
 13   239 ms   211 ms   207 ms  66-195-65-170.static.ctl.one [66.195.65.170] 
 14   226 ms   208 ms   207 ms  nat.hws.edu [64.89.144.100] 
 15     *        *        *     Request timed out.
 16     *        *        *     Request timed out.
 17     *        *        *     Request timed out.
 18     *        *        *     Request timed out.
 19     *        *        *     Request timed out.
 20     *        *        *     Request timed out.
 21     *        *        *     Request timed out.
 22     *        *        *     Request timed out.
 23     *        *        *     Request timed out.
 24     *        *        *     Request timed out.
 25     *        *        *     Request timed out.
 26     *        *        *     Request timed out.
 27     *        *        *     Request timed out.
 28     *        *        *     Request timed out.
 29     *        *        *     Request timed out.
 30     *        *        *     Request timed out.

Trace complete.
